store_location_id,company_id,position,country,state,latitude,longitude,localization,status,main_destination_id,pickup_destinations_ids,shopNumber,old_slid,is_warehouse,city_id,is_kik,is_pickup,shopFormat,lang_code,name,description,city,pickup_address,pickup_phone,pickup_time,meta_title,meta_description,time_delivery,name_sort,country_title,id,text
977,1,8760,UA,30,50.49267,30.59939,,A,10,10,977,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Кибальчича Миколи, 11-Б",,Київ,,380671275563,ПН - НД 8:00 - 21:00,,,3,,Україна,977,"Аврора #977 Київ, вул. Кибальчича Миколи, 11-Б"
2007,1,8700,UA,30,50.552544,30.334467,,A,10,10,2007,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Селянська, 1",,Київ,,380671006097,ПН - НД 8:00 - 21:00,,,3,,Україна,2007,"Аврора #2007 Київ, вул. Селянська, 1"
2011,1,8600,UA,30,50.4528407,30.4687437,,A,10,10,2011,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Богдана Гаврилишина, 6",,Київ,,380675729088,ПН - НД 8:00 - 21:00,,,3,,Україна,2011,"Аврора #2011 Київ, вул. Богдана Гаврилишина, 6"
2019,1,8940,UA,30,50.455895,30.61514,,A,10,10,2019,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Гетьмана Павла Полуботка, 9-Г",,Київ,,380671047720,ПН - НД 8:00 - 21:00,,,3,,Україна,2019,"Аврора #2019 Київ, вул. Гетьмана Павла Полуботка, 9-Г"
2026,1,8750,UA,30,50.463741,30.370487,,A,10,10,2026,0,N,9825,Y,Y,СТАНДАРТ,uk,"бульв. Вернадського Академіка, 59/2",,Київ,,380671699634,ПН - НД 8:00 - 21:00,,,3,,Україна,2026,"Аврора #2026 Київ, бульв. Вернадського Академіка, 59/2"
2031,1,8930,UA,30,50.409461,30.391436,,A,10,10,2031,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Григоровича-Барського, 1",,Київ,,380671817078,ПН - НД 8:00 - 21:00,,,3,,Україна,2031,"Аврора #2031 Київ, вул. Григоровича-Барського, 1"
2032,1,8860,UA,30,50.50033,30.45053,,A,10,10,2032,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Вишгородська, 21",,Київ,,380671267089,ПН - НД 8:00 - 21:00,,,3,,Україна,2032,"Аврора #2032 Київ, вул. Вишгородська, 21"
2033,1,9900,UA,30,50.41496,30.66116,,A,10,10,2033,0,N,9825,Y,Y,СТАНДАРТ,uk,"шосе Харківське, 166-В",,Київ,,380676433525,ПН - НД 8:00 - 21:00,,,3,,Україна,2033,"Аврора #2033 Київ, шосе Харківське, 166-В"
2043,1,9390,UA,30,50.524386,30.499109,,A,10,10,2043,0,N,9825,Y,Y,СТАНДАРТ,uk,"просп. Оболонський, 49-А",,Київ,,380671915274,ПН - НД 8:00 - 21:00,,,3,,Україна,2043,"Аврора #2043 Київ, просп. Оболонський, 49-А"
2053,1,9090,UA,30,50.469948,30.622177,,A,10,10,2053,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Миропільська, 2-Е",,Київ,,380671795122,ПН - НД 8:00 - 21:00,,,3,,Україна,2053,"Аврора #2053 Київ, вул. Миропільська, 2-Е"
2054,1,9350,UA,30,50.524802,30.511838,,A,10,10,2054,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Північна, 46",,Київ,,380671296174,ПН - НД 8:00 - 21:00,,,3,,Україна,2054,"Аврора #2054 Київ, вул. Північна, 46"
2055,1,9260,UA,30,50.4877887,30.498439,,A,10,10,2055,0,N,9825,Y,Y,СТАНДАРТ,uk,"просп. Степана Бандери, 16-Б",,Київ,,380671768443,ПН - НД 8:00 - 21:00,,,3,,Україна,2055,"Аврора #2055 Київ, просп. Степана Бандери, 16-Б"
2059,1,9030,UA,30,50.406946,30.650203,,A,10,10,2059,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Ревуцького, 31",,Київ,,380671932837,ПН - НД 8:00 - 21:00,,,3,,Україна,2059,"Аврора #2059 Київ, вул. Ревуцького, 31"
