store_location_id,company_id,position,country,state,latitude,longitude,localization,status,main_destination_id,pickup_destinations_ids,shopNumber,old_slid,is_warehouse,city_id,is_kik,is_pickup,shopFormat,lang_code,name,description,city,pickup_address,pickup_phone,pickup_time,meta_title,meta_description,time_delivery,country_title,id,text
176,1,5130,UA,12,47.653517,34.114017,,A,10,10,176,0,N,19543,N,Y,СТАНДАРТ,uk,"вул. Героїв України, 5",,Покров,,380674072329,ПН - НД 8:00 - 20:00,,,3,Україна,176,"Аврора #176 Покров, вул. Героїв України, 5"
177,1,6560,UA,63,49.9409,35.92867,,A,10,10,177,0,N,13163,N,Y,СТАНДАРТ,uk,"вул. Шевченка, 106",,Люботин,,380674072102,ПН - НД 7:00 - 19:00,,,3,Україна,177,"Аврора #177 Люботин, вул. Шевченка, 106"
178,1,4280,UA,23,47.823201,35.039616,,A,10,10,178,0,N,8003,N,Y,СТАНДАРТ,uk,"вул. Задніпровська, 66-А",,Запоріжжя,,380671763041,ПН - НД 7:00 - 20:00,,,3,Україна,178,"Аврора #178 Запоріжжя, вул. Задніпровська, 66-А"
179,1,4870,UA,12,47.574381,34.39563,,A,10,10,179,0,N,15827,N,Y,СТАНДАРТ,uk,"вул. Шевченка, 188-А",,Нікополь,,380674071897,ПН - НД 8:00 - 20:00,,,3,Україна,179,"Аврора #179 Нікополь, вул. Шевченка, 188-А"
180,1,1110,UA,74,51.51521,31.3322,,A,10,10,180,0,N,26230,N,Y,СТАНДАРТ,uk,"вул. Всіхсвятська, 7-В",,Чернігів,,380674071858,ПН - НД 8:00 - 20:00,,,3,Україна,180,"Аврора #180 Чернігів, вул. Всіхсвятська, 7-В"
181,1,1710,UA,12,47.686343,33.264283,,A,10,10,181,0,N,26868,N,Y,СТАНДАРТ,uk,"вул. Соборна, 90",,Широке,,380674071703,ПН - НД 7:00 - 20:00,,,3,Україна,181,"Аврора #181 Широке, вул. Соборна, 90"
183,1,5570,UA,74,50.86181,32.39335,,A,10,10,183,0,N,9083,N,Y,СТАНДАРТ,uk,"вул. Героїв Майдану, 5-В",,Ічня,,380972012835,ПН - НД 8:00 - 21:00,,,3,Україна,183,"Аврора #183 Ічня, вул. Героїв Майдану, 5-В"
184,1,2120,UA,35,48.663058,30.804958,,A,10,10,184,0,N,16234,N,Y,СТАНДАРТ,uk,"вул. Центральна, 26",,Новоархангельськ,,380674071683,ПН - НД 8:00 - 20:00,,,3,Україна,184,"Аврора #184 Новоархангельськ, вул. Центральна, 26"
185,1,4430,UA,23,47.944225,35.435904,,A,10,10,185,0,N,3846,N,Y,СТАНДАРТ,uk,"пер. Торговий, 17-А",,Вільнянськ,,380674071638,ПН - НД 7:00 - 20:00,,,3,Україна,185,"Аврора #185 Вільнянськ, пер. Торговий, 17-А"
186,1,3530,UA,05,48.665229,29.745582,,A,10,10,186,0,N,24152,N,Y,СТАНДАРТ,uk,"вул. Незалежності, 31",,Теплик,,380674071544,ПН - НД 8:00 - 20:00,,,3,Україна,186,"Аврора #186 Теплик, вул. Незалежності, 31"
187,1,520,UA,12,47.908236,33.416889,,A,10,10,187,0,N,11401,N,Y,СТАНДАРТ,uk,"просп. Гагаріна, 63",,Кривий Ріг,,380677421609,ПН - НД 8:00 - 20:00,,,3,Україна,187,"Аврора #187 Кривий Ріг, просп. Гагаріна, 63"
190,1,1540,UA,32,50.461019,29.812246,,A,10,10,190,0,N,13325,N,Y,СТАНДАРТ,uk,"вул. Димитрія Ростовського, 34-А",,Макарів,,380674923069,ПН - НД 7:00 - 20:00,,,3,Україна,190,"Аврора #190 Макарів, вул. Димитрія Ростовського, 34-А"
191,1,7810,UA,53,49.239315,33.139896,,A,10,10,191,0,N,5517,N,Y,СТАНДАРТ,uk,"вул. Київська, 49",,Градизьк,,380675361924,ПН - НД 7:00 - 21:00,,,3,Україна,191,"Аврора #191 Градизьк, вул. Київська, 49"
194,1,5810,UA,71,48.759823,30.215463,,A,10,10,194,0,N,25059,N,Y,СТАНДАРТ,uk,"вул. Європейська, 60-Б",,Умань,,380675356976,ПН - НД 9:00 - 20:00,,,3,Україна,194,"Аврора #194 Умань, вул. Європейська, 60-Б"
195,1,5870,UA,71,49.289513,31.440437,,A,10,10,195,0,N,5376,N,Y,СТАНДАРТ,uk,"вул. Миру, 56",,Городище,,380675356992,ПН - НД 8:00 - 20:00,,,3,Україна,195,"Аврора #195 Городище, вул. Миру, 56"
196,1,11000,UA,68,49.436598,27.008311,,A,10,10,196,0,N,25472,N,Y,СТАНДАРТ,uk,"вул. Миру, 80",,Хмельницький,,380671952641,ПН - НД 8:00 - 21:00,,,3,Україна,196,"Аврора #196 Хмельницький, вул. Миру, 80"
197,1,5010,UA,35,48.328662,31.52574,,A,10,10,197,0,N,17033,N,Y,СТАНДАРТ,uk,"вул. Павлівська, 57-Б",,Новоукраїнка,,380675357909,ПН - НД 7:00 - 20:00,,,3,Україна,197,"Аврора #197 Новоукраїнка, вул. Павлівська, 57-Б"
199,1,6570,UA,63,49.98843,36.06474,,A,10,10,199,0,N,22729,N,Y,СТАНДАРТ,uk,"вул. Слобожанська, 14",,Солоницівка,,380675357942,ПН - НД 8:00 - 20:00,,,3,Україна,199,"Аврора #199 Солоницівка, вул. Слобожанська, 14"
200,1,4580,UA,12,48.536034,34.567576,,A,10,10,200,0,N,9452,N,Y,СТАНДАРТ,uk,"вул. Квітів, 9-В",,Кам'янське,,380675358746,ПН - НД 8:00 - 20:00,,,3,Україна,200,"Аврора #200 Кам'янське, вул. Квітів, 9-В"
201,1,7820,UA,53,50.064235,34.748638,,A,10,10,201,0,N,10993,N,Y,СТАНДАРТ,uk,"вул. Полтавський Шлях, 213",,Котельва,,380674057701,ПН - НД 7:00 - 20:00,,,3,Україна,201,"Аврора #201 Котельва, вул. Полтавський Шлях, 213"
